"CreatedDate","Symbol","Price","Side","CallPut","Strike","Spot","TargetPrice","ExpirationDate","vecBullBearFlag","FinalNetPrem","NetOITotVol","NetOITotPrem","KeyGroupCount","BuBeCaPu23","BuBe23","BuCBePQut","BuBeAllQut"
"6/9/2025","BILI",3.935,"A","CALL",20,19.515,23.935,"3/20/2026","BULL","-4482830","-5508","-7349856",1,1,1,1,1
"6/9/2025","FLG",2.05,"B","PUT",12,11.955,12,"1/15/2027","BULL","4600560","21104","3812741",1,1,1,1,1
"6/9/2025","BILI",2.973,"A","CALL",22,19.3,24.973,"3/20/2026","BULL","12640686","5434","12046114",1,1,1,1,1
"6/9/2025","COIN",52.2,"B","CALL",360,254.325,360,"1/15/2027","BEAR","1822790","0","0",1,0,1,0,1
"6/10/2025","ARM",49.6,"A","CALL",140,139.42,189.6,"6/17/2027","BULL","8658940","-1581","-2791065",1,1,0,1,0
"6/10/2025","MDY",32,"B","PUT",560,562.1,560,"3/20/2026","BULL","3200000","0","0",1,1,1,1,1
"6/10/2025","FBTC",3.05,"B","PUT",40,95.125,40,"1/15/2027","BULL","2754125","1902","405825",1,0,1,0,1
"6/10/2025","HPE",3.62,"A","CALL",17,18.305,20.62,"6/18/2026","BULL","292257","-189","-69741",1,0,0,0,0
"6/10/2025","V",36.8,"B","CALL",365,368.805,365,"3/20/2026","BEAR","1325582","200","37582",1,1,0,1,0
"6/10/2025","NCLH",8.202,"AA","PUT",27,19.6593,18.798,"6/18/2026","BEAR","1215515","0","0",1,0,0,0,0
"6/11/2025","CRDO",23,"A","CALL",70,71.485,93,"6/18/2026","BULL","-74938","-1050","-2489938",1,1,1,1,1
"6/11/2025","IREN",2.598,"A","CALL",12,10.2799,14.5979999999999,"3/20/2026","BULL","-8481154","-7261","-10115417",1,1,0,0,0
"6/11/2025","SMR",22.794,"A","CALL",30,41.66,52.794,"1/15/2027","BULL","1176179","0","-6",1,1,1,0,0
"6/11/2025","JBLU",1.5,"B","PUT",5,4.8963,5,"1/15/2027","BULL","750000","0","0",1,1,1,1,1
"6/11/2025","CVNA",113.6,"A","PUT",400,339.846,286.4,"6/18/2026","BEAR","2272000","0","0",1,1,0,0,0
"6/11/2025","IBIT",14.3,"B","CALL",62,61.88,62,"6/18/2026","BEAR","1197787","-280","-232213",1,0,0,0,0
"6/11/2025","MARA",4.11,"B","CALL",32,16.425,32,"6/17/2027","BEAR","1386723","-210","616098",1,0,0,0,0
"6/12/2025","APLD",4.549,"A","CALL",12,12.6901,16.549,"3/20/2026","BULL","645020","0","0",1,1,1,1,1
"6/12/2025","TSM",45.91,"B","CALL",195,214.915,195,"6/18/2026","BEAR","11191000","600","6600000",1,0,0,0,0
"6/12/2025","B",3.11,"A","PUT",22,20.94,18.89,"6/18/2026","BEAR","3421000","0","0",1,0,0,0,0
"6/12/2025","ARM",25.359,"AA","PUT",140,139.59,114.640999999999,"3/20/2026","BEAR","606069","-1159","-1488107",1,1,0,1,0
"6/12/2025","BILI",7.25,"B","CALL",22,20.7857,22,"12/17/2027","BEAR","1370320","-18","-79680",1,1,1,1,1
"6/12/2025","RBLX",15.7,"A","PUT",85,95.65,69.3,"12/18/2026","BEAR","549500","0","0",1,0,0,0,0
"6/13/2025","APLD",3.85,"B","PUT",10,11.195,10,"1/15/2027","BULL","2278936","1463","361765",1,1,1,1,1
"6/13/2025","COIN",16.35,"B","PUT",120,239.08,120,"12/17/2027","BULL","2643001","960","1008000",1,0,1,0,1
"6/13/2025","MARA",2.75,"B","PUT",12,14.885,12,"6/18/2026","BULL","408464","-182","-59036",1,0,0,0,0
"6/13/2025","FLG",1.373,"BB","PUT",10,11.049,10,"1/15/2027","BULL","-288885","-4935","-752925",1,1,1,1,1
"6/13/2025","APA",1.9,"A","CALL",30,20.965,31.9,"1/15/2027","BULL","385590","-34","-24620",1,0,0,0,0
"6/13/2025","SILJ",7.2,"A","CALL",9,14.995,16.2,"1/15/2027","BULL","-1730700","-1010","-2090700",1,1,1,1,0
"6/13/2025","RIOT",4.05,"B","PUT",12,10.13,12,"6/18/2026","BULL","250235","138","7640",1,0,0,0,0
"6/13/2025","QCOM",23.6,"B","CALL",155,155.12,155,"6/18/2026","BEAR","832070","-1599","-3885570",1,0,0,0,0
"6/13/2025","PLTR",16.043,"BB","CALL",190,137.77,190,"2/20/2026","BEAR","3062996","389","683746",1,1,1,1,1
"6/16/2025","ORCL",64.7,"A","CALL",180,210.575,244.7,"6/17/2027","BULL","12248500","0","0",1,0,0,0,0
"6/16/2025","PLTR",26.668,"A","CALL",160,143.065,186.668,"2/20/2026","BULL","230266758","44809","228015980",2,1,1,1,1
"6/16/2025","SPOT",86.7,"B","PUT",680,719.11,680,"3/20/2026","BULL","1734000","0","0",1,1,1,1,0
"6/16/2025","BRKB",109.5,"B","CALL",410,0,410,"6/18/2026","BEAR","4500450","0","0",1,0,0,0,0
"6/17/2025","ASTS",22.347,"BB","PUT",45,39.17,45,"12/17/2027","BULL","4763971","1909","3503621",1,0,0,0,0
"6/17/2025","META",120,"A","CALL",720,699.63,840,"9/18/2026","BULL","1188000","0","0",1,0,0,0,0
"6/17/2025","MOS",5.34,"A","CALL",35,35.97,40.34,"3/20/2026","BULL","621080","-1854","-446920",1,0,1,0,1
"6/17/2025","AU",4.12,"B","PUT",42,48.535,42,"3/20/2026","BULL","412000","0","0",1,0,1,0,0
"6/17/2025","COF",17,"A","PUT",180,196.3911,163,"6/18/2026","BEAR","1985527","0","0",1,0,0,0,0
"6/17/2025","COF",22.403,"BB","CALL",210,196.3001,210,"6/18/2026","BEAR","7144320","2000","5350000",1,0,0,0,0
"6/17/2025","PCT",3.1,"B","CALL",25,14.505,25,"1/15/2027","BEAR","1547143","0","0",1,0,0,0,0
"6/17/2025","GME",0.4,"A","PUT",3,23.2174,2.6,"12/17/2027","BEAR","-315883","-27276","-839780",1,0,0,0,0
"6/17/2025","RUN",1.76,"B","CALL",8,5.725,8,"6/18/2026","BEAR","-2079686","-3039","-2519688",1,0,1,0,1
"6/17/2025","UIS",0.3,"A","PUT",2,4.4,1.7,"12/18/2026","BEAR","262500","0","0",1,0,0,0,0
"6/18/2025","ARM",50.5,"A","CALL",145,143.67,195.5,"6/17/2027","BULL","17648952","2036","12737392",1,1,0,1,0
"6/18/2025","DDOG",17.2,"B","PUT",125,129.14,125,"6/18/2026","BULL","3720360","0","0",1,0,1,0,1
"6/18/2025","TER",8.9,"B","PUT",75,86.1,75,"6/18/2026","BULL","2861540","326","35860",1,0,1,0,1
"6/18/2025","AU",5.41,"B","PUT",45,47.97,45,"3/20/2026","BULL","1884500","0","0",1,0,1,0,0
"6/18/2025","BEKE",2.3,"A","CALL",20,17.995,22.3,"3/20/2026","BULL","1038670","-3600","-196200",1,1,1,1,1
"6/18/2025","IBIT",4.5,"A","PUT",45,59.445,40.5,"6/18/2026","BEAR","4176590","-593","352990",1,0,0,0,0
"6/18/2025","NIO",0.6,"B","CALL",4.5,3.45,4.5,"6/18/2026","BEAR","2172034","-393","8716",1,0,0,0,0
"6/18/2025","META",169.38,"B","CALL",740,696.99,740,"12/17/2027","BEAR","2775192","84","1352400",1,0,0,0,0
"6/18/2025","NVDY",11.703,"B","CALL",5,16.58,5,"1/15/2027","BEAR","1299050","0","0",1,0,0,0,0
"6/18/2025","RDW",6.5,"B","CALL",20,16.98,20,"1/15/2027","BEAR","719006","1450","618256",1,1,0,1,0
"6/20/2025","XLK",15.49,"A","CALL",255,240.59,270.49,"3/20/2026","BULL","2914510","0","0",1,1,0,0,0
"6/20/2025","URGN",4.2,"B","PUT",15,15.315,15,"2/20/2026","BULL","174950","330","-190",1,0,0,0,0
"6/20/2025","APYX",0.6,"A","CALL",2.5,1.84,3.1,"2/20/2026","BULL","135000","500","30000",1,1,1,1,1
"6/20/2025","PCT",4.35,"B","CALL",12,13.65,12,"2/20/2026","BEAR","3051509","-800","-58741",1,0,0,0,0
"6/20/2025","VIG",6.8,"B","CALL",205,199.02,205,"2/20/2026","BEAR","131320","-200","-231800",1,0,0,0,0
"6/23/2025","FOUR",33.7,"A","CALL",75,92.94,108.7,"1/15/2027","BULL","3875566","166","1701916",1,1,1,1,0
"6/23/2025","ORCL",54.799,"A","CALL",180,206.5,234.799,"12/18/2026","BULL","-22443","-332","-1814375",1,0,0,0,0
"6/23/2025","AXON",150,"A","CALL",800,784.19,950,"6/18/2026","BULL","603000","-90","-747000",1,0,0,0,0
"6/23/2025","MRVL",14.25,"A","CALL",70,70.485,84.25,"3/20/2026","BULL","2434128","2675","1436628",1,1,1,1,0
"6/23/2025","LMND",7.89,"A","CALL",60,44.05,67.89,"3/20/2026","BULL","926560","163","137560",1,1,1,1,1
"6/23/2025","BTDR",3.2,"A","CALL",12.5,10.89,15.7,"3/20/2026","BULL","756186","2165","244186",1,1,1,1,0
"6/23/2025","MDY",28.3,"A","CALL",600,556.62,628.3,"6/18/2026","BULL","365070","0","0",1,1,1,1,1
"6/23/2025","NVTS",2.7,"A","CALL",10,6.7784,12.7,"1/15/2027","BULL","-200583","-1307","-560508",1,1,1,1,0
"6/23/2025","QCOM",23.349,"BB","CALL",150,151.4849,150,"6/18/2026","BEAR","-929537","-1998","-5134860",1,0,0,0,0
"6/23/2025","IBIT",19.35,"B","CALL",50,56.745,50,"1/15/2027","BEAR","-1927078","2215","-5229498",1,0,0,0,0
"6/23/2025","APP",93.53,"A","PUT",310,331.4,216.47,"1/15/2027","BEAR","1889310","0","0",1,0,0,0,0
"6/23/2025","SLV",2.887,"BB","CALL",34,33.02,34,"3/20/2026","BEAR","2132067","2855","688604",1,1,0,1,0
"6/24/2025","ARM",55.95,"A","CALL",150,153.1212,205.95,"6/17/2027","BULL","6056660","-188","-3940200",1,1,0,1,0
"6/24/2025","SHOP",18.45,"B","PUT",110,114.4435,110,"6/18/2026","BULL","826230","-701","-1015080",1,0,0,0,0
"6/24/2025","ALAB",43.8,"A","CALL",60,86.78,103.8,"1/15/2027","BULL","976740","0","0",1,0,1,0,1
"6/24/2025","SNAP",0.87,"A","CALL",13,8.2057,13.87,"6/18/2026","BULL","7675079","103459","6805079",2,1,1,1,1
"6/24/2025","KOLD",6.1,"A","CALL",29,23.65,35.1,"2/20/2026","BULL","610000","0","0",1,1,1,1,1
"6/24/2025","RZLV",0.785,"A","CALL",2.5,2.6868,3.285,"2/20/2026","BULL","323780","2999","296610",1,1,1,1,1
"6/24/2025","MDB",54,"A","PUT",240,208.94,186,"3/20/2026","BEAR","6719477","-86","-30523",1,0,0,0,0
"6/24/2025","LULU",47.3,"B","CALL",230,231.57,230,"6/18/2026","BEAR","2180600","-1052","-1442580",1,1,0,1,0
"6/24/2025","MU",21.36,"B","CALL",160,126.95,160,"1/15/2027","BEAR","2152590","-214","-837810",1,1,0,0,0
"6/24/2025","CRDO",28,"B","CALL",85,87.0792,85,"6/18/2026","BEAR","2776455","0","-1145",1,1,1,1,1
"6/24/2025","MA",58.75,"A","PUT",570,553.145,511.25,"1/15/2027","BEAR","1466250","-250","-1177500",1,0,0,0,0
"6/24/2025","OMF",16.9,"AA","PUT",70,54.895,53.1,"2/20/2026","BEAR","676010","0","0",1,0,0,0,0
"6/24/2025","SA",2.3,"B","CALL",14,14.18,14,"2/20/2026","BEAR","218500","0","0",1,1,0,1,0
"6/25/2025","SLV",3.25,"A","CALL",33,32.875,36.25,"3/20/2026","BULL","1525727","2822","566977",1,1,0,1,0
"6/25/2025","SATS",8.2,"B","PUT",25,24.305,25,"1/15/2027","BULL","507701","0","0",1,1,0,1,0
"6/25/2025","LQDA",3.4,"A","CALL",15,13.41,18.4,"4/17/2026","BULL","340000","0","0",1,1,0,1,0
"6/25/2025","VSTS",1.942,"A","CALL",5,6.06,6.942,"2/20/2026","BULL","66447","-652","-30654",1,,,,
"6/25/2025","ARM",58.15,"B","CALL",155,159.0112,155,"6/17/2027","BEAR","10865356","1391","5041426",1,1,0,1,0
"6/25/2025","CRWD",65.45,"A","PUT",490,494.755,424.55,"3/20/2026","BEAR","1963500","0","0",1,0,0,0,0
"6/25/2025","KWEB",6.2,"A","PUT",38,34.54,31.8,"7/17/2026","BEAR","1709855","220","159855",1,1,1,1,1
"6/25/2025","NVO",11,"B","CALL",70,67.65,70,"6/18/2026","BEAR","4837306","11568","3723406",2,0,0,0,0
"6/25/2025","SHOP",16.6,"B","CALL",135,113.87,135,"6/18/2026","BEAR","996000","0","0",1,0,0,0,0
"6/25/2025","TMC",3.281,"A","PUT",7,7.6,3.719,"1/15/2027","BEAR","523012","0","0",1,1,1,1,0
"6/26/2025","ARM",46.167,"B","PUT",165,159,165,"6/17/2027","BULL","2746938","0","0",1,1,0,1,0
"6/26/2025","SMCI",12.47,"B","PUT",50,48.63,50,"3/20/2026","BULL","1137000","-1600","-1357000",1,0,0,0,0
"6/26/2025","V",32.45,"A","CALL",345,344.08,377.45,"3/20/2026","BULL","1947000","0","0",1,1,0,1,0
"6/26/2025","BHP",2.39,"A","CALL",60,48.355,62.39,"1/15/2027","BULL","1194991","0","0",1,1,1,1,1
"6/26/2025","XLK",17.85,"B","CALL",300,250.61,300,"6/17/2027","BEAR","9094575","0","0",1,1,0,0,0
"6/26/2025","S",2.8,"B","CALL",20,18.0359,20,"6/18/2026","BEAR","1143721","-3220","-692834",1,1,1,1,0
"6/27/2025","RUN",3.16,"B","PUT",8,7.45,8,"6/18/2026","BULL","1933920","0","0",1,0,1,0,1
"6/27/2025","IREN",4.3,"B","PUT",15,13.765,15,"2/20/2026","BULL","1508675","0","0",1,1,0,0,0
"6/27/2025","QUBT",4.9,"A","CALL",30,17.5,34.9,"1/15/2027","BULL","1036841","0","0",1,1,0,0,0
"6/27/2025","BHP",2.04,"A","CALL",62.5,48.715,64.54,"1/15/2027","BULL","1019965","0","0",1,1,1,1,1
